ADM1_NAME;2016;2017;2018;2019;2020;2021
Amazonas;8952717.14;9455514.69;9912410.53;10394168.91;9654205.74;11068255.09
Antioquia;20289053.92;21021421.47;22112974.06;23443453.37;22312070.72;26443763.88
Arauca;16999992.07;17432051.08;19418996.91;20059733.21;17613325.38;22198195.6
Atlantico;15893943.95;16559026.1;17104545.61;17654316.61;16643733.67;19252475.15
Bolivar;15359019;16403988.84;17105509.47;17969999.22;15961852.71;19182900.13
Boyaca;19726303.82;20520808.81;22083733.57;23213351.33;21061238.63;24522694.68
Caldas;13977005.27;14877999.4;15738292.25;16871662.14;16324192.32;19031777.39
Caqueta;9164640.59;9639202.72;10132201.3;10620553.11;10081618.89;11423861.74
Casanare;28911790.76;31964165.12;36877465.55;38418352.46;28453986.18;37425439.47
Cauca;11203350.22;11553337.06;11935201.61;12686194.36;12064278.48;14017069.39
Cesar;14953900.78;16818960.5;17710537.2;16547877.35;13719293.3;17621692.93
Choco;8146210.87;7511347.33;7062348.79;7718662.91;7982756.56;9057986.07
Cordoba;8405653.61;8957509.29;9412987.51;10107440.71;9710754.92;11328890.29
Cundinamarca;50511427.95;52366551.79;54499209.33;56478139.72;53200131.83;61440769.32
Guainia;7419490.11;7319487.46;7556201.56;7878262.44;7194948.82;8264283.47
Guaviare;9108938.93;9412081.61;9464246.38;9825676.49;9277497.27;10399821.55
Huila;13682003.37;14008429.54;14530595;15467922.66;14647529.95;17139832.01
Guajira;11477178.44;12747583.84;13493547.08;12102422.66;9033402.61;14573512.98
Magdalena;9081224.47;9488024.79;9862748.6;10186730.86;9705869.18;11239785.59
Meta;26213926.96;29589308.1;33981127.98;36588669.28;28210904.64;36674842.64
Nariño;8598377.9;8669515.13;9097869.57;9765246.25;9428268.31;10863145.94
Norte De Santander;9693222.96;9984804.24;10352471.29;10405660.46;9778509.33;11243524.6
Putumayo;9869727.49;10603129.35;11584127.91;11445297.98;9209972.69;11508949.26
Quindio;13461508.83;14295764.2;14725788.18;15574661.67;14955010.06;17709682.35
Risaralda;14951359.42;15956983.03;16829248.27;17929495.17;17044646.56;20049097.78
"San Andres Y Providencia	";21847740.89;23464177.53;24985542.79;26238949.68;21813774.38;27369500.3
Santander;26029905.36;27702139.76;29190314.1;30891994.53;27008506.11;32549060.24
Sucre;8190519.94;8667294.56;8976958.62;9361477.4;8896881.05;10129554.71
Tolima;14254326.27;15071622.03;15788946.63;16869491.99;15813963.49;18469335.21
Valle Del Cauca;19277535.08;20251505.61;21424516.39;22893005.23;21847923.81;25262530.24
Vaupes;6468020.6;6608361.22;6897673.98;7094452.3;6798815.84;7496363.82
Vichada;5586502.51;5677781.25;5889111.19;6221545.35;5961135.22;6782790.36
